<class 'sklearn.svm.classes.SVC'>,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,<class 'sklearn.neural_network.multilayer_perceptron.MLPClassifier'>,<class 'sklearn.tree.tree.DecisionTreeClassifier'>
0.3925925925925926,0.7111111111111111,0.7037037037037037,0.6851851851851852
0.3888888888888889,0.6888888888888889,0.6925925925925925,0.6814814814814815
0.3851851851851852,0.6851851851851852,0.6888888888888889,0.6888888888888889
0.3592592592592593,0.6925925925925925,0.7074074074074074,0.6777777777777778
0.35555555555555557,0.674074074074074,0.6592592592592592,0.6555555555555556
0.37407407407407406,0.6851851851851852,0.6666666666666666,0.6666666666666666
0.3592592592592593,0.7037037037037037,0.6814814814814815,0.6962962962962963
0.42962962962962964,0.662962962962963,0.6444444444444445,0.6481481481481481
0.42962962962962964,0.7111111111111111,0.7074074074074074,0.7037037037037037
0.3962962962962963,0.6703703703703704,0.6703703703703704,0.6666666666666666
