<class 'sklearn.neural_network.multilayer_perceptron.MLPClassifier'>,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,<class 'sklearn.tree.tree.DecisionTreeClassifier'>,<class 'sklearn.svm.classes.SVC'>
0.6407407407407407,0.674074074074074,0.674074074074074,0.32592592592592595
0.6703703703703704,0.7407407407407407,0.7185185185185186,0.2777777777777778
0.6185185185185185,0.674074074074074,0.6777777777777778,0.32592592592592595
0.6222222222222222,0.6185185185185185,0.6222222222222222,0.37777777777777777
0.6703703703703704,0.7074074074074074,0.674074074074074,0.3037037037037037
0.6,0.6481481481481481,0.6296296296296297,0.362962962962963
0.5962962962962963,0.7,0.7111111111111111,0.29259259259259257
0.7074074074074074,0.7111111111111111,0.6888888888888889,0.3111111111111111
0.6296296296296297,0.6851851851851852,0.6888888888888889,0.3148148148148148
0.6481481481481481,0.7111111111111111,0.6962962962962963,0.7148148148148148
